r_mid_kpc,r_lo_kpc,r_hi_kpc,mass_msun,density_msun_kpc3,N
0.03242338698359277,0.029999999999999995,0.03504253411626043,34814.35442154179,518436414.79806364,1
0.037873254817908805,0.03504253411626043,0.04093263990964255,0.0,0.0,0
0.044239160801679805,0.04093263990964255,0.04781278101674175,0.0,0.0,0
0.0516750767222532,0.04781278101674175,0.05584936699908207,0.0,0.0,0
0.060360854633331115,0.05584936699908207,0.06523677828122945,113993.92860766966,263104255.31692716,3
0.07050657692583809,0.06523677828122945,0.0762020676184967,359083.46944779623,520018522.96950054,9
0.08235763757814739,0.0762020676184967,0.0890104518083585,100007.00058299117,90872202.11813408,3
0.09620067748556141,0.0890104518083585,0.10397172647327194,248863.32539608702,141885756.50823614,7
0.11237051742650511,0.10397172647327194,0.12144775906887102,430481.8162381707,153996184.67588755,11
0.13125825635267144,0.12144775906887102,0.14186124135047634,918655.4325424368,206198284.15534982,23
0.15332073087597825,0.14186124135047634,0.16570591299330412,1256789.6214932262,176999579.5706608,35
0.17909156474838175,0.16570591299330412,0.19355850364446475,1855320.3494775516,163947880.60491577,47
0.20919407558765443,0.19355850364446475,0.22609268224844922,2669609.0526456824,148017073.9917656,71
0.2443563510233315,0.22609268224844922,0.26409535103760373,4239963.977852313,147503921.00253767,115
0.2854288589086668,0.26409535103760373,0.30848567828936685,5905973.730477854,128916990.54227895,167
0.3334050175357415,0.30848567828936685,0.3603373301944293,9065304.57768895,124159026.19512494,240
0.38944522338428766,0.3603373301944293,0.42090443955668305,10842354.570286263,93174431.75271645,273
0.4549049175619522,0.42090443955668305,0.49165193942835145,15521130.16941803,83690032.79001682,362
0.5313673697773118,0.49165193942835145,0.5742909953581206,13012698.909733444,44024560.35360491,300
0.6206819727896341,0.5742909953581206,0.6708203932499368,12578081.423271215,26700494.086677905,265
0.7250089735609528,0.6708203932499368,0.7835748838781385,9789206.43319725,13038560.088548435,201
0.846871723020155,0.7835748838781385,0.9152816533648158,7470428.085980529,6243166.033583867,154
0.9892177082010013,0.9152816533648158,1.0691262854674606,5417146.244326431,2840581.180459702,122
1.1554898429347518,1.0691262854674606,1.2488298111028096,6297476.477357123,2071955.6200277214,153
1.349709741401115,1.2488298111028096,1.4587387086991093,9895389.773646457,2042791.537382017,229
1.576574988669921,1.4587387086991093,1.703930032209941,16540558.099222835,2142488.765677439,368
1.841572760910287,1.703930032209941,1.9903342095145868,29490246.62939337,2396757.243194054,609
2.1511125433924887,1.9903342095145868,2.3248784813225054,42721273.8804883,2178547.7721202415,878
2.5126811563249016,2.3248784813225054,2.7156544499301214,55897549.19128609,1788516.331051371,1104
2.9350238381266696,2.7156544499301214,3.1721137903216916,69582777.11646588,1396944.4957640895,1364
3.428355765986382,3.1721137903216916,3.7052968572669363,88385604.07411933,1113361.4429160103,1800
4.004609129741866,3.7052968572669363,4.328099717721639,115982516.60416281,916694.066255231,2314
4.677721735042245,4.328099717721639,5.0555860672279245,165528092.8616776,820882.227914615,3278
5.463974116219695,5.0555860672279245,5.905351574617516,207095091.5231151,644400.9873788601,4147
6.382383312599754,5.905351574617516,6.897949467401553,313670612.34050196,612403.2305974234,6290
7.455162832494272,6.897949467401553,8.057387651455313,414643455.4490952,507943.8495671201,8372
8.708259929998578,8.057387651455313,9.411709388801947,430737383.0215511,331078.2918038394,8637
10.17198318967463,9.411709388801947,10.993671578314029,394119269.4264828,190074.15104211375,7906
11.881735598473362,10.993671578314029,12.841537044867737,391221285.6278075,118384.57406058055,7758
13.878870835662967,12.841537044867737,15.000000000000004,434333729.7973449,82465.71847959922,8648
