r_mid_kpc,r_lo_kpc,r_hi_kpc,mass_msun,density_msun_kpc3,N
0.03242338698359277,0.029999999999999995,0.03504253411626043,254960.39143035887,3796731361.098507,9
0.037873254817908805,0.03504253411626043,0.04093263990964255,455919.9544473813,4259935295.4532585,15
0.044239160801679805,0.04093263990964255,0.04781278101674175,593949.1279605136,3482097286.681882,18
0.0516750767222532,0.04781278101674175,0.05584936699908207,949130.3899267223,3491361194.614139,29
0.060360854633331115,0.05584936699908207,0.06523677828122945,1551669.474793016,3581338468.1958957,49
0.07050657692583809,0.06523677828122945,0.0762020676184967,1649516.698307707,2388801796.937649,53
0.08235763757814739,0.0762020676184967,0.0890104518083585,3022771.626319809,2746666859.1459804,94
0.09620067748556141,0.0890104518083585,0.10397172647327194,4547428.88337023,2592649544.71485,141
0.11237051742650511,0.10397172647327194,0.12144775906887102,4331150.937559869,1549381865.8082314,143
0.13125825635267144,0.12144775906887102,0.14186124135047634,5475486.738077962,1229009191.381333,175
0.15332073087597825,0.14186124135047634,0.16570591299330412,6387090.570569852,899523934.9028068,207
0.17909156474838175,0.16570591299330412,0.19355850364446475,7948660.763759108,702394110.1237429,253
0.20919407558765443,0.19355850364446475,0.22609268224844922,10203546.6329653,565737936.5916116,328
0.2443563510233315,0.22609268224844922,0.26409535103760373,10684483.634122444,371702032.8834971,340
0.2854288589086668,0.26409535103760373,0.30848567828936685,11458145.349934056,250111104.97946453,366
0.3334050175357415,0.30848567828936685,0.3603373301944293,11386940.686861636,155956311.77157986,371
0.38944522338428766,0.3603373301944293,0.42090443955668305,13631111.361291915,117139782.41654558,439
0.4549049175619522,0.42090443955668305,0.49165193942835145,14337357.35645314,77307122.23829913,463
0.5313673697773118,0.49165193942835145,0.5742909953581206,16345514.669637851,55300141.96716295,522
0.6206819727896341,0.5742909953581206,0.6708203932499368,14266619.344880383,30284887.86454325,474
0.7250089735609528,0.6708203932499368,0.7835748838781385,16820863.440898392,22404251.071022645,560
0.846871723020155,0.7835748838781385,0.9152816533648158,19641134.89975716,16414436.342319433,641
0.9892177082010013,0.9152816533648158,1.0691262854674606,17113697.974764362,8973885.17913854,559
1.1554898429347518,1.0691262854674606,1.2488298111028096,20474664.36010836,6736443.723393057,688
1.349709741401115,1.2488298111028096,1.4587387086991093,17716642.183813747,3657400.825211094,595
1.576574988669921,1.4587387086991093,1.703930032209941,19883572.105072744,2575507.404351565,653
1.841572760910287,1.703930032209941,1.9903342095145868,21288594.604129683,1730185.3713225203,685
2.1511125433924887,1.9903342095145868,2.3248784813225054,20192578.581372797,1029709.3950165188,666
2.5126811563249016,2.3248784813225054,2.7156544499301214,21520346.936085843,688572.0841421259,692
2.9350238381266696,2.7156544499301214,3.1721137903216916,23528791.404032744,472364.24020315614,756
3.428355765986382,3.1721137903216916,3.7052968572669363,21139509.65167533,266286.7467488164,654
4.004609129741866,3.7052968572669363,4.328099717721639,22343194.084442075,176594.49060154211,699
4.677721735042245,4.328099717721639,5.0555860672279245,20147803.1692659,99916.41459309756,629
5.463974116219695,5.0555860672279245,5.905351574617516,21197473.977281332,65958.45927798413,649
6.382383312599754,5.905351574617516,6.897949467401553,18646006.001290515,36404.029780557226,573
7.455162832494272,6.897949467401553,8.057387651455313,18277001.0655986,22389.573880401556,557
8.708259929998578,8.057387651455313,9.411709388801947,10631082.682266423,8171.3843125941185,331
10.17198318967463,9.411709388801947,10.993671578314029,9279965.554469526,4475.501989620125,290
11.881735598473362,10.993671578314029,12.841537044867737,5020312.239594204,1519.1594833132337,164
13.878870835662967,12.841537044867737,15.000000000000004,3360660.651878788,638.0791456206096,109
